[(0, 2, True), (1, 2, True), (2, 2, True), (3, 2, True), (4, 2, True), (5, 2, True), (6, 2, True), (7, 2, True), (8, 2, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 4 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch  24, time= 27.5s | Train: skip eval | Valid: time=  2.3s loss=0.171, TAw acc= 97.0% |
| Epoch  25, time= 27.5s | Train: skip eval | Valid: time=  2.3s loss=0.186, TAw acc= 94.0% |
| Epoch  26, time= 27.8s | Train: skip eval | Valid: time=  2.3s loss=0.191, TAw acc= 94.7% |
| Epoch  27, time= 27.9s | Train: skip eval | Valid: time=  2.3s loss=0.210, TAw acc= 94.0% |
| Epoch  28, time= 27.3s | Train: skip eval | Valid: time=  2.4s loss=0.184, TAw acc= 94.7% |
| Epoch  29, time= 27.3s | Train: skip eval | Valid: time=  2.3s loss=0.230, TAw acc= 90.2% |
| Epoch  30, time= 27.9s | Train: skip eval | Valid: time=  2.3s loss=0.201, TAw acc= 94.0% |
| Epoch  31, time= 27.7s | Train: skip eval | Valid: time=  2.3s loss=0.424, TAw acc= 77.4% |
| Epoch  32, time= 27.7s | Train: skip eval | Valid: time=  2.3s loss=0.192, TAw acc= 94.0% |
| Epoch  33, time= 27.8s | Train: skip eval | Valid: time=  2.3s loss=0.187, TAw acc= 95.5% |
| Epoch  34, time= 27.7s | Train: skip eval | Valid: time=  2.3s loss=0.325, TAw acc= 88.7% |
| Epoch  35, time= 27.2s | Train: skip eval | Valid: time=  2.3s loss=0.183, TAw acc= 93.2% |
| Epoch  36, time= 27.9s | Train: skip eval | Valid: time=  2.4s loss=0.361, TAw acc= 86.5% |
| Epoch  37, time= 27.7s | Train: skip eval | Valid: time=  2.3s loss=0.283, TAw acc= 88.7% |
| Epoch  38, time= 27.8s | Train: skip eval | Valid: time=  2.3s loss=0.211, TAw acc= 93.2% |
| Epoch  39, time= 27.1s | Train: skip eval | Valid: time=  2.3s loss=0.162, TAw acc= 96.2% |
| Epoch  40, time= 28.0s | Train: skip eval | Valid: time=  2.3s loss=0.180, TAw acc= 94.7% |
| Epoch  41, time= 27.8s | Train: skip eval | Valid: time=  2.4s loss=0.154, TAw acc= 97.7% | *
| Epoch  42, time= 27.2s | Train: skip eval | Valid: time=  2.3s loss=0.166, TAw acc= 96.2% |
| Epoch  43, time= 27.2s | Train: skip eval | Valid: time=  2.3s loss=0.167, TAw acc= 96.2% |
| Epoch  44, time= 27.3s | Train: skip eval | Valid: time=  2.4s loss=0.164, TAw acc= 96.2% |
| Epoch  45, time= 27.5s | Train: skip eval | Valid: time=  2.4s loss=0.152, TAw acc= 95.5% | *
| Epoch  46, time= 27.8s | Train: skip eval | Valid: time=  2.3s loss=0.163, TAw acc= 96.2% |
| Epoch  47, time= 27.7s | Train: skip eval | Valid: time=  2.3s loss=0.163, TAw acc= 97.0% |
| Epoch  48, time= 27.9s | Train: skip eval | Valid: time=  2.3s loss=0.178, TAw acc= 96.2% |
| Epoch  49, time= 27.8s | Train: skip eval | Valid: time=  2.3s loss=0.223, TAw acc= 94.0% |
