[(0, 2, True), (1, 2, True), (2, 2, True), (3, 2, True), (4, 2, True), (5, 2, True), (6, 2, True), (7, 2, True), (8, 2, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  28, time= 17.6s | Train: skip eval | Valid: time=  1.3s loss=0.105, TAw acc= 97.7% |
| Epoch  29, time= 17.6s | Train: skip eval | Valid: time=  1.3s loss=0.104, TAw acc= 97.7% |
| Epoch  30, time= 17.7s | Train: skip eval | Valid: time=  1.2s loss=0.106, TAw acc= 97.7% |
| Epoch  31, time= 18.1s | Train: skip eval | Valid: time=  1.3s loss=0.103, TAw acc= 97.7% |
| Epoch  32, time= 18.0s | Train: skip eval | Valid: time=  1.3s loss=0.102, TAw acc= 97.7% |
| Epoch  33, time= 18.0s | Train: skip eval | Valid: time=  1.2s loss=0.105, TAw acc= 97.7% |
| Epoch  34, time= 17.5s | Train: skip eval | Valid: time=  1.3s loss=0.107, TAw acc= 97.7% |
| Epoch  35, time= 18.0s | Train: skip eval | Valid: time=  1.3s loss=0.106, TAw acc= 98.5% |
| Epoch  36, time= 17.5s | Train: skip eval | Valid: time=  1.3s loss=0.104, TAw acc= 98.5% |
| Epoch  37, time= 18.1s | Train: skip eval | Valid: time=  1.3s loss=0.106, TAw acc= 98.5% |
| Epoch  38, time= 17.3s | Train: skip eval | Valid: time=  1.3s loss=0.105, TAw acc= 98.5% |
| Epoch  39, time= 17.6s | Train: skip eval | Valid: time=  1.3s loss=0.108, TAw acc= 98.5% |
| Epoch  40, time= 18.0s | Train: skip eval | Valid: time=  1.2s loss=0.107, TAw acc= 98.5% |
| Selected 400 train exemplars, time= 14.4s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.760 | TAw acc= 96.4%, forg=  0.4%| TAg acc= 78.6%, forg= 18.1% <<<
>>> Test on task  1 : loss=0.104 | TAw acc= 98.5%, forg=  0.0%| TAg acc= 96.2%, forg=  0.0% <<<
Save at results/ntu_eeil
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time= 35.9s | Train: skip eval | Valid: time=  1.2s loss=0.503, TAw acc= 87.3% | *
| Epoch   2, time= 36.0s | Train: skip eval | Valid: time=  1.3s loss=0.206, TAw acc= 93.3% | *
| Epoch   3, time= 35.4s | Train: skip eval | Valid: time=  1.3s loss=0.184, TAw acc= 94.8% | *
| Epoch   4, time= 35.9s | Train: skip eval | Valid: time=  1.2s loss=0.124, TAw acc= 95.5% | *
| Epoch   5, time= 36.0s | Train: skip eval | Valid: time=  1.3s loss=0.167, TAw acc= 97.0% |
