[18, 1, 19, 8, 10, 17, 6, 13, 4, 2, 5, 14, 9, 7, 16, 11, 3, 0, 15, 12]
[(0, 2, True), (1, 2, True), (2, 2, True), (3, 2, True), (4, 2, True), (5, 2, True), (6, 2, True), (7, 2, True), (8, 2, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 4 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch  11, time= 26.8s | Train: skip eval | Valid: time=  2.3s loss=0.898, TAw acc= 96.3% |
| Epoch  12, time= 26.3s | Train: skip eval | Valid: time=  2.2s loss=0.894, TAw acc= 97.0% |
| Epoch  13, time= 26.8s | Train: skip eval | Valid: time=  2.3s loss=0.911, TAw acc= 96.3% |
| Epoch  14, time= 26.8s | Train: skip eval | Valid: time=  2.3s loss=0.905, TAw acc= 95.5% |
| Epoch  15, time= 26.8s | Train: skip eval | Valid: time=  2.2s loss=0.911, TAw acc= 96.3% |
| Epoch  16, time= 26.8s | Train: skip eval | Valid: time=  2.2s loss=0.904, TAw acc= 97.0% |
| Epoch  17, time= 26.8s | Train: skip eval | Valid: time=  2.3s loss=0.913, TAw acc= 96.3% |
| Epoch  18, time= 26.2s | Train: skip eval | Valid: time=  2.3s loss=0.904, TAw acc= 96.3% |
| Epoch  19, time= 26.4s | Train: skip eval | Valid: time=  2.2s loss=0.889, TAw acc= 97.0% | *
| Epoch  20, time= 26.0s | Train: skip eval | Valid: time=  2.3s loss=0.904, TAw acc= 97.0% |
| Epoch  21, time= 26.9s | Train: skip eval | Valid: time=  2.3s loss=0.906, TAw acc= 97.0% |
| Epoch  22, time= 26.8s | Train: skip eval | Valid: time=  2.3s loss=0.917, TAw acc= 96.3% |
| Epoch  23, time= 26.2s | Train: skip eval | Valid: time=  2.2s loss=0.902, TAw acc= 97.8% |
| Epoch  24, time= 26.9s | Train: skip eval | Valid: time=  2.2s loss=0.891, TAw acc= 97.8% |
