[(0, 2, True), (1, 1, True), (2, 3, True), (3, 1, False), (4, 2, True), (5, 3, True), (6, 2, True), (7, 3, True), (8, 1, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 4 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
>>> Test on task  1 : loss=0.566 | TAw acc=100.0%, forg=  0.0%| TAg acc= 39.8%, forg=  0.0% <<<
Save at results/ntu_bic
************************************************************************************************************
Task  2
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 12 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 40.6s | Train: skip eval | Valid: time=  3.3s loss=0.445, TAw acc= 96.5% | *
| Epoch   2, time= 40.3s | Train: skip eval | Valid: time=  3.4s loss=0.469, TAw acc= 95.0% |
| Epoch   3, time= 41.1s | Train: skip eval | Valid: time=  3.3s loss=0.440, TAw acc= 97.0% | *
| Epoch   4, time= 41.3s | Train: skip eval | Valid: time=  3.4s loss=0.436, TAw acc= 97.0% | *
| Epoch   5, time= 40.5s | Train: skip eval | Valid: time=  3.4s loss=0.485, TAw acc= 93.5% |
| Epoch   6, time= 40.1s | Train: skip eval | Valid: time=  3.4s loss=0.404, TAw acc= 99.0% | *
| Epoch   7, time= 40.5s | Train: skip eval | Valid: time=  3.4s loss=0.414, TAw acc= 98.0% |
| Epoch   8, time= 40.9s | Train: skip eval | Valid: time=  3.4s loss=0.414, TAw acc= 98.0% |
| Epoch   9, time= 40.3s | Train: skip eval | Valid: time=  3.3s loss=0.420, TAw acc= 96.5% |
| Epoch  10, time= 41.4s | Train: skip eval | Valid: time=  3.3s loss=0.409, TAw acc= 98.5% |
| Epoch  11, time= 41.6s | Train: skip eval | Valid: time=  3.4s loss=0.406, TAw acc= 98.5% |
| Epoch  12, time= 40.9s | Train: skip eval | Valid: time=  3.3s loss=0.412, TAw acc= 98.0% |
| Epoch  13, time= 41.3s | Train: skip eval | Valid: time=  3.2s loss=0.441, TAw acc= 96.0% |
| Epoch  14, time= 41.4s | Train: skip eval | Valid: time=  3.3s loss=0.413, TAw acc= 98.0% |
| Epoch  15, time= 41.5s | Train: skip eval | Valid: time=  3.3s loss=0.404, TAw acc= 98.5% |
| Epoch  16, time= 41.2s | Train: skip eval | Valid: time=  3.3s loss=0.404, TAw acc= 98.5% | *
| Epoch  17, time= 41.4s | Train: skip eval | Valid: time=  3.3s loss=0.397, TAw acc= 98.0% | *
| Epoch  18, time= 41.2s | Train: skip eval | Valid: time=  3.4s loss=0.415, TAw acc= 97.5% |
| Epoch  19, time= 39.8s | Train: skip eval | Valid: time=  3.4s loss=0.408, TAw acc= 97.0% |
